,bathrooms,bedrooms,latitude,longitude,price,num_photos,distance,hardwood floor,dogs allow,cats allow,elev,stainless steel,steel applianc,new york,interest_level
0,1.0,1,40.7108,-73.9539,2400,12,0.3046733845806168,1,1,1,0,0,0,0,medium
1,1.0,2,40.7513,-73.9722,3800,6,0.32387688244627116,1,0,0,1,0,0,0,low
2,1.0,2,40.7575,-73.9625,3495,6,0.5521438246200716,1,0,0,1,1,1,0,medium
3,1.5,3,40.7145,-73.9425,3000,5,0.1310897994149735,0,0,0,0,0,1,0,medium
4,1.0,0,40.7439,-73.9743,2795,4,0.6985290822993576,0,0,0,1,0,0,0,low
5,1.0,3,40.7348,-73.9865,7200,5,0.21926677317640758,1,0,0,1,0,0,0,low
6,2.0,3,40.7302,-73.9826,6000,7,0.11712691314949068,1,0,0,0,0,0,0,low
7,1.0,0,40.7769,-73.9467,1945,5,0.8020438079097422,1,0,0,1,0,0,0,high
8,0.0,1,40.7346,-73.9811,2435,4,0.4079609523810215,1,0,0,0,0,0,1,low
9,3.0,3,40.699,-73.9943,6850,11,0.1989205945652206,0,1,1,0,0,0,0,low
10,1.0,0,40.7723,-73.951,2785,4,0.7615429121389553,0,1,1,1,0,0,0,low
11,1.0,2,40.753,-73.9959,3100,5,0.22572457161728926,1,1,1,1,1,0,0,low
12,1.0,0,40.761,-73.999,2400,4,0.619631898178064,1,0,0,1,1,1,0,medium
13,1.0,1,40.7277,-74.0,2750,6,0.3551027903400622,1,0,0,0,1,1,0,low
14,2.0,2,40.7633,-73.9596,5465,10,0.5677788925106076,1,1,1,1,0,0,1,low
15,1.0,0,40.7073,-73.9665,3150,10,0.7463028877803076,0,0,0,0,0,0,0,low
16,1.0,2,40.7528,-73.9709,3750,7,0.4590267245864545,1,0,0,1,0,0,1,low
17,1.0,3,40.736,-73.986,4450,7,0.35052597226746224,0,1,1,1,0,0,0,high
18,1.0,1,40.783,-73.9828,3200,5,0.2640187896090824,1,0,0,0,0,0,1,low
19,1.0,1,40.7621,-73.9486,2495,3,0.5118679233821246,0,0,0,0,0,0,0,low
20,1.0,0,40.746,-73.9754,2195,4,0.5624743692621023,0,0,0,0,0,0,0,low
21,2.0,2,40.7456,-74.0053,5975,6,0.6053392134862363,0,1,1,1,1,1,0,low
